Indicator,Country,2016,2017,2018,2019,2020
Agricultural land (% of land area),South Africa,79.41785028,79.41785028,79.41785028,79.41785028,79.41785028
Agricultural land (% of land area),South Sudan,44.87326524,44.8174244,44.70574272,44.70574272,44.70542623
Agricultural land (% of land area),Spain,52.57724736,52.63871383,52.40820971,52.45849173,52.33167922
Agricultural land (% of land area),Sri Lanka,44.43151891,44.59631945,45.44807966,45.44729471,45.45748464
Agricultural land (% of land area),St. Kitts and Nevis,23.07692308,23.07692308,23.07692308,23.07692308,23.07692308
Agricultural land (% of land area),St. Lucia,16.29508197,16.29508197,16.29508197,16.29508197,16.29508197
Agricultural land (% of land area),St. Martin (French part),..,..,..,..,..
Agricultural land (% of land area),St. Vincent and the Grenadines,17.94871795,17.94871795,17.94871795,17.94871795,17.94871795
Agricultural land (% of land area),Sudan,59.98650964,60.14974304,60.31297645,60.31297645,60.31308351
Agricultural land (% of land area),Suriname,0.557692308,0.538461538,0.538461538,0.538461538,0.512820513
Agricultural land (% of land area),Sweden,7.41674708,7.393300602,7.36634329,7.377611261,7.379478334
Agricultural land (% of land area),Switzerland,38.33866073,38.259885,38.18240515,38.10503414,38.0271063
Agricultural land (% of land area),Syrian Arab Republic,75.78351032,75.80477591,75.79201656,75.75741437,75.76853455
Agricultural land (% of land area),Tajikistan,35.12789106,35.35629368,35.38871677,35.43627062,35.42041934
Agricultural land (% of land area),Tanzania,43.65861368,43.89828404,44.13795439,44.37762475,44.61639196
Agricultural land (% of land area),Thailand,44.71021159,44.71999843,44.717447,45.01947582,45.55168373
Agricultural land (% of land area),Timor-Leste,22.93880296,22.97242771,23.00605245,22.95897781,22.95897781
Agricultural land (% of land area),Togo,70.2334988,70.2334988,70.2334988,70.2334988,70.2334988
Agricultural land (% of land area),Tonga,48.61111111,48.61111111,48.61111111,48.61111111,48.61111111
Agricultural land (% of land area),Trinidad and Tobago,10.52631579,10.52631579,10.52631579,10.52631579,10.52631579
Agricultural land (% of land area),Tunisia,62.45236869,62.71176622,62.4388517,62.4388517,62.4388517
Agricultural land (% of land area),Turkiye,49.80055351,49.32759898,49.11710822,49.00536621,49.06513519
Agricultural land (% of land area),Turkmenistan,72.00646905,72.00646905,72.00646905,72.00646905,72.00646905
Agricultural land (% of land area),Turks and Caicos Islands,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579
Agricultural land (% of land area),Tuvalu,60,60,60,60,60
Agricultural land (% of land area),Uganda,71.88809096,71.88809096,71.88809096,71.88809096,71.88809096
Agricultural land (% of land area),Ukraine,71.66531444,71.61919558,71.33068692,71.2996203,71.2996203
Agricultural land (% of land area),United Arab Emirates,5.404111518,5.404111518,5.375246409,5.497043086,5.488594762
Agricultural land (% of land area),United Kingdom,71.71488364,72.19506675,71.71852023,72.4229988,71.34004919
Agricultural land (% of land area),United States,44.30370531,44.36336735,44.36336735,44.36336735,44.36336735
Agricultural land (% of land area),Uruguay,81.50668495,81.26442692,81.08101931,80.71820363,80.3531025
Agricultural land (% of land area),Uzbekistan,57.9805307,57.95255431,57.92340673,58.00705928,58.28321797
Agricultural land (% of land area),Vanuatu,15.34044299,15.34044299,15.34044299,15.34044299,15.34044299
Agricultural land (% of land area),"Venezuela, RB",24.37503543,24.37503543,24.37503543,24.37503543,24.37503543
Agricultural land (% of land area),Viet Nam,38.84079429,38.82796272,38.73445023,39.52410275,39.43476832
Agricultural land (% of land area),Virgin Islands (U.S.),11.42857143,11.42857143,9.428571429,9.428571429,9.428571429
Agricultural land (% of land area),West Bank and Gaza,72.16249169,71.3877907,71.22772425,70.65237542,67.75142857
Agricultural land (% of land area),"Yemen, Rep.",44.29380457,44.41919048,44.41919048,44.41919048,44.41919048
Agricultural land (% of land area),Zambia,31.93344005,32.06795894,32.06795894,32.06795894,32.06795894
Agricultural land (% of land area),Zimbabwe,41.87669639,41.87669639,41.87669639,41.87669639,41.87669639
CO2 emissions (kt),Afghanistan,9294.93,10022.78,10972.38,11238.83,8709.47
CO2 emissions (kt),Albania,4573.2,5403.7,5316.1,4993.3,4383.2
CO2 emissions (kt),Algeria,154654.3,157704.4,164534.1,170582.4,161563
CO2 emissions (kt),American Samoa,..,..,..,..,..
CO2 emissions (kt),Andorra,468.992,465.328,494.64,479.984,448.884399
CO2 emissions (kt),Angola,29520.7,25064.8,23637.4,24382.9,19814.5
CO2 emissions (kt),Antigua and Barbuda,500.5,500.1,508.6,509,474.6
CO2 emissions (kt),Argentina,183158.7,179267.3,176894.6,168162,154535.9
CO2 emissions (kt),Armenia,5066.7,5371.3,5712.2,6195.6,6746.6
CO2 emissions (kt),Aruba,..,..,..,..,..
CO2 emissions (kt),Australia,394803.6,397149.4,396059.9,395199.1,378996.8
CO2 emissions (kt),Austria,63697.1,65867.7,63131.4,64497.8,59142.4
CO2 emissions (kt),Azerbaijan,32239.4,31957,32728.1,35521,34305
CO2 emissions (kt),"Bahamas, The",2040.7,2170.2,2795.4,2622.7,2456
CO2 emissions (kt),Bahrain,30301.1,30514.9,30844.4,32966.8,32470.2
CO2 emissions (kt),Bangladesh,81128.9,87658,95944.6,92645,85493.1
CO2 emissions (kt),Barbados,1290.77,1179.97,1270.17,1167.27,1096.07
CO2 emissions (kt),Belarus,55201.4,56247,59271.6,57681.2,54801.5
CO2 emissions (kt),Belgium,94171.6,92587.4,93523.2,92989.4,85364.1
CO2 emissions (kt),Belize,651.3,643.1,630,736.2,687.6
CO2 emissions (kt),Benin,6739,6876.2,7604,7475.5,7980.4
CO2 emissions (kt),Bermuda,..,..,..,..,..
CO2 emissions (kt),Bhutan,1228.4,1309.5,1454.3,1433,1035.2
CO2 emissions (kt),Bolivia,21328.7,21628.2,21881.2,21828.8,18375.3
CO2 emissions (kt),Bosnia and Herzegovina,22356.6,22692.7,22615.8,21124.3,20946.8
CO2 emissions (kt),Botswana,6629.312,7337.512,8061.3875,7198.3,5763.687
CO2 emissions (kt),Brazil,447077.3,455684.8,433838.8,434318,414138.8
CO2 emissions (kt),British Virgin Islands,..,..,..,..,..
CO2 emissions (kt),Brunei Darussalam,6968.5,7290.2,7540,7057.8,9588
CO2 emissions (kt),Bulgaria,41586.7,43885.1,40898.2,39159.9,34138.1
CO2 emissions (kt),Burkina Faso,3997.8,4625.2,5147.7,5646.5,5456.7
CO2 emissions (kt),Burundi,442,529.1,664.9,707.4,713.466
CO2 emissions (kt),Cabo Verde,542.9,584.7,594.7,617.2,620.6
CO2 emissions (kt),Cambodia,11066.4,12660.5,13555.7,18093.2,18652.8
CO2 emissions (kt),Cameroon,8974.7,9076,9749.7,9557.3,9928.4
CO2 emissions (kt),Canada,556874.1,568175.9,579573.9,566001.8,516873.7
CO2 emissions (kt),Cayman Islands,..,..,..,..,..
CO2 emissions (kt),Central African Republic,206.4,222.4,229.1,235.4,236.6
CO2 emissions (kt),Chad,1469.87,1488.2,1557.4,1583.6,1568.4
CO2 emissions (kt),Channel Islands,..,..,..,..,..
CO2 emissions (kt),Chile,86504.7,87136.9,86581.3,91915.4,84827.8
CO2 emissions (kt),China,9860914,10089273.2,10567262,10762824,10944686.2
CO2 emissions (kt),Colombia,83526.2,75674,79355.2,79186.7,79057.6
CO2 emissions (kt),Comoros,217.9,279,302.7,326.2,328.2
CO2 emissions (kt),"Congo, Dem. Rep.",2421.14,2845,2813.9,3031.2,3025.6
CO2 emissions (kt),"Congo, Rep.",5497.6,5406.7,6216.9,7006.1,7153.9
CO2 emissions (kt),Costa Rica,8008.9,8173.5,8166.6,7956.4,6967.4
CO2 emissions (kt),Cote d'Ivoire,9593.5,10563.8,10194.8,10838.9,10894.9
CO2 emissions (kt),Croatia,16876.8,17407.9,16433.4,16523.3,15626.9
CO2 emissions (kt),Cuba,27176.4,26241.3,26674.6,24418.5,24327.8
CO2 emissions (kt),Curacao,..,..,..,..,..
CO2 emissions (kt),Cyprus,7219.2,7361.2,7198.6,7191,6771.8
CO2 emissions (kt),Czechia,102998,103549.9,102734.3,97712.9,88835.2
CO2 emissions (kt),Denmark,35340.3,33184,33133.3,29696.5,27356.5
CO2 emissions (kt),Djibouti,395.47,403.4,414.9,428.27,427.7
CO2 emissions (kt),Dominica,182.5,165.6,165.3,174.1,162.8
CO2 emissions (kt),Dominican Republic,24593.5,23551.3,25366,25775.2,22881.3
